nh-p4  333.1    1.706     
nh-p5  365.6    1.671     
nh-s   237.0    1.784     
nh-s4  259.1    1.749     
nh-s6  300.0    1.693     
nh-sh  288.3    1.708     
nh-ss  288.3    1.708     
nh-sy  324.2    1.664     
no-no  138.3    1.824     
no-o   761.2    1.219     
no-oh  400.5    1.406     
no-os  320.8    1.477     
no-p2  306.3    1.738     
no-p3  234.7    1.844     
no-p4  220.4    1.870     
no-p5  240.5    1.834     
no-s   263.8    1.742     
no-s4  143.0    1.996     
no-s6  149.6    1.976     
no-sh  225.4    1.804     
no-ss  212.4    1.828     
o -o   384.3    1.430     
o -oh  294.6    1.517     
o -os  306.3    1.504     
o -p2  449.7    1.508     
o -p3  440.4    1.515     
o -p4  456.4    1.503     
o -p5  487.7    1.481     
o -pe  432.6    1.521     
o -pf  432.6    1.521     
o -px  459.2    1.501     
o -py  477.5    1.488     
o -s   194.8    1.802     
o -s2  333.6    1.599     
o -s4  448.7    1.497     
o -s6  541.1    1.436     
o -sh  328.0    1.605     
o -ss  398.5    1.537     
o -sx  434.2    1.508     
o -sy  493.0    1.466     
oh-oh  340.5    1.469     
oh-os  342.6    1.467     
oh-p2  316.8    1.630     
oh-p3  278.8    1.677     
oh-p4  307.4    1.641     
oh-p5  321.2    1.625     
oh-py  332.1    1.613     
oh-s   190.0    1.812     
oh-s4  274.3    1.670     
oh-s6  344.1    1.588     
oh-sh  258.6    1.692     
oh-ss  265.6    1.682     
oh-sy  302.6    1.634     
os-os  343.6    1.466     
os-p2  371.9    1.573     
os-p3  272.2    1.686     
os-p4  311.6    1.636     
os-p5  342.5    1.602     
os-py  328.5    1.617     
os-s   195.8    1.800     
os-s4  253.9    1.699     
os-s6  355.0    1.577     
os-sh  273.6    1.671     
os-ss  250.5    1.704     
os-sy  253.9    1.699     
p2-p2  490.3    1.786     
p2-p3  211.9    2.152     
p2-p4  200.4    2.179     
p2-p5  199.9    2.180     
p2-pe  401.6    1.867     
p2-pf  401.6    1.867     
p2-s   361.6    1.772     
p2-s4  139.4    2.190     
p2-s6  142.3    2.180     
p2-sh  224.0    1.971     
p2-ss  226.6    1.966     
p3-p3  186.5    2.214     
p3-p4  185.7    2.216     
p3-p5  186.9    2.213     
p3-s   179.7    2.070     
p3-s4  173.2    2.087     
p3-s6  176.9    2.077     
p3-sh  157.3    2.132     
p3-ss  161.0    2.121     
p4-p4  273.1    2.034     
p4-p5  178.0    2.237     
p4-s   152.7    2.146     
p4-s4  123.2    2.251     
p4-s6  118.9    2.269     
p4-sh  163.1    2.115     
p4-ss  167.0    2.104     
p5-p5  261.4    2.054     
p5-s   250.8    1.922     
p5-s4  191.9    2.040     
p5-s6  191.9    2.040     
p5-sh  175.0    2.082     
p5-ss  164.8    2.110     
pe-pe  240.7    2.092     
pe-pf  260.8    2.055     
pe-px  291.4    2.005     
pe-py  278.6    2.025     
pe-s   374.7    1.758     
pe-sx  145.9    2.168     
pe-sy  133.0    2.213     
pf-pf  240.7    2.092     
pf-pf  260.8    2.055     
pf-px  291.4    2.005     
pf-py  278.6    2.025     
pf-s   374.7    1.758     
pf-sx  145.9    2.168     
pf-sy  133.0    2.213     
px-py  192.3    2.199     
px-sx  125.4    2.242     
px-sy  123.7    2.249     
py-py  197.5    2.186     
py-sx  121.2    2.259     
py-sy  141.7    2.182     
s -s   169.0    2.030     
s -s2  229.2    1.897     
s -s4  152.8    2.076     
s -s6  166.0    2.038     
s -sh  142.0    2.110     
s -ss  148.5    2.089     
s4-s4  151.5    2.080     
s4-s6  151.5    2.080     
s4-sh  125.7    2.168     
s4-ss  126.2    2.166     
s6-s6  151.5    2.080     
s6-sh  142.6    2.108     
s6-ss  139.6    2.118     
sh-sh  158.9    2.058     
sh-ss  155.8    2.067     
ss-ss  161.7    2.050     
sx-sx   80.9    2.391     
sx-sy  105.3    2.255     
sy-sy  106.4    2.250     
